,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
329,Valparaiso,28,10,18,.357,-3.91,1.43,,7,11,,6,6,,4,11,,1821,1902,,1130,660,1576,.419,189,635,.298,312,429,.727,196,920,356,183,97,346,445
330,Vanderbilt,25,9,16,.360,6.64,7.24,,3,13,,6,7,,2,8,,1794,1809,,1000,609,1416,.430,233,667,.349,343,466,.736,246,843,318,175,65,346,440
331,Vermont,15,10,5,.667,2.79,-6.81,,10,4,,6,3,,4,2,,1095,951,,610,383,828,.463,116,337,.344,213,273,.780,126,524,211,75,39,183,266
332,Villanova NCAA,22,16,6,.727,18.08,9.67,,11,4,,9,0,,4,4,,1662,1477,,885,581,1291,.450,203,576,.352,297,388,.765,211,755,336,117,32,199,341
333,Virginia Commonwealth NCAA,26,19,7,.731,12.28,5.74,,10,4,,12,2,,5,3,,1864,1694,,1045,659,1460,.451,168,510,.329,378,497,.761,238,890,347,240,140,380,485
334,VMI,25,13,12,.520,0.14,-0.23,,7,7,,11,1,,1,10,,2001,1897,,1010,706,1517,.465,270,711,.380,319,413,.772,203,963,393,134,75,314,364
335,Virginia Tech NCAA,21,15,6,.714,13.68,7.06,,9,4,,10,2,,3,3,,1515,1376,,850,534,1183,.451,173,485,.357,274,393,.697,198,738,302,100,83,245,338
336,Virginia NCAA,24,18,6,.750,16.66,8.49,,13,4,,10,1,,6,3,,1647,1451,,965,608,1266,.480,204,535,.381,227,278,.817,157,762,335,118,104,226,310
337,Wagner,20,13,7,.650,-3.37,-5.92,,13,5,,7,3,,6,4,,1425,1374,,815,533,1205,.442,117,368,.318,242,337,.718,247,713,258,147,51,246,406
338,Wake Forest,22,6,16,.273,2.72,9.05,,3,15,,5,6,,1,9,,1458,1583,,885,501,1222,.410,195,562,.347,261,359,.727,198,718,252,136,48,300,365
339,Washington State,27,14,13,.519,5.82,4.64,,7,12,,11,5,,3,6,,1853,1821,,1110,633,1539,.411,208,610,.341,379,534,.710,304,1027,328,167,95,412,496
340,Washington,26,5,21,.192,-0.55,9.18,,4,16,,4,7,,1,9,,1759,2012,,1040,641,1513,.424,197,593,.332,280,397,.705,213,811,280,158,94,355,472
341,Weber State,23,17,6,.739,1.90,-6.45,,12,3,,11,0,,6,5,,1881,1594,,920,656,1300,.505,193,496,.389,376,478,.787,148,754,345,154,69,288,376
342,West Virginia NCAA,27,18,9,.667,15.86,10.67,,11,6,,8,5,,7,2,,2087,1947,,1095,711,1660,.428,196,549,.357,469,654,.717,363,1030,373,202,77,328,442
343,Western Carolina,27,11,16,.407,-6.92,-1.52,,4,13,,6,5,,4,9,,2039,2129,,1105,716,1577,.454,226,662,.341,381,525,.726,211,928,359,133,75,382,455
344,Western Illinois,22,7,15,.318,-12.84,-4.98,,5,9,,2,5,,4,9,,1606,1746,,880,550,1362,.404,157,497,.316,349,488,.715,258,839,225,116,67,286,444
345,Western Kentucky,27,20,7,.741,5.41,0.18,,11,3,,11,2,,5,3,,1974,1833,,1090,685,1512,.453,171,496,.345,433,548,.790,283,1023,359,178,121,401,383
346,Western Michigan,21,5,16,.238,-10.61,-0.31,,4,12,,2,9,,3,7,,1325,1511,,840,499,1153,.433,141,427,.330,186,291,.639,167,710,245,93,42,305,346
347,Wichita State NCAA,21,16,5,.762,9.43,6.80,,11,2,,10,2,,5,2,,1520,1416,,850,514,1261,.408,175,512,.342,317,460,.689,251,799,279,128,75,238,329
348,William & Mary,17,7,10,.412,-10.32,-3.09,,4,6,,1,3,,5,6,,1101,1224,,685,388,948,.409,98,342,.287,227,303,.749,170,574,183,90,56,232,265
349,Winthrop NCAA,24,23,1,.958,5.10,-7.65,,17,1,,11,1,,10,0,,1909,1603,,960,674,1463,.461,203,575,.353,358,522,.686,312,966,361,186,57,340,436
350,Wisconsin NCAA,29,17,12,.586,17.82,12.51,,10,10,,11,5,,5,6,,2019,1865,,1170,711,1689,.421,248,689,.360,349,455,.767,241,972,386,170,110,259,471
351,Wofford,24,15,9,.625,2.19,0.19,,12,5,,9,3,,6,4,,1784,1627,,965,646,1374,.470,246,692,.355,246,349,.705,216,829,351,160,48,306,380
352,Wright State,24,18,6,.750,7.73,-6.82,,16,4,,9,4,,9,2,,1967,1618,,965,710,1471,.483,179,484,.370,368,508,.724,284,1015,369,141,87,314,328
353,Wyoming,25,14,11,.560,-1.48,-2.56,,5,9,,7,5,,4,5,,1915,1888,,1010,649,1442,.450,251,704,.357,366,509,.719,203,816,351,145,54,281,468
354,Xavier,21,13,8,.619,11.95,7.33,,6,7,,11,2,,2,5,,1571,1474,,850,589,1285,.458,162,498,.325,231,333,.694,200,792,369,145,85,235,325
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-8.94,-7.33,,9,11,,10,5,,5,7,,2010,1950,,1095,717,1672,.429,186,606,.307,390,537,.726,346,991,349,163,44,310,441
