,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,East Tennessee State,25,13,12,.520,2.05,0.70,,8,7,,8,4,,3,5,,1736,1654,,67.6,102.2,.299,.406,.537,52.2,47.6,10.8,8.5,.509,17.3,29.7,.208
87,Eastern Illinois,27,9,18,.333,-12.27,-6.75,,6,14,,5,7,,4,11,,1874,2023,,70.2,97.6,.257,.354,.515,48.9,50.9,10.0,8.8,.493,17.4,28.7,.169
88,Eastern Kentucky,29,22,7,.759,-2.23,-7.79,,15,5,,10,2,,9,4,,2372,2137,,76.1,105.6,.255,.400,.544,47.5,52.9,13.3,9.2,.519,14.6,26.7,.180
89,Eastern Michigan,18,6,12,.333,-13.33,-0.33,,3,11,,5,4,,1,8,,1267,1362,,71.4,98.6,.303,.382,.514,46.7,44.2,12.5,7.0,.475,15.2,25.1,.226
90,Eastern Washington NCAA,23,16,7,.696,2.46,-5.45,,12,3,,7,2,,6,5,,1795,1597,,71.7,108.9,.302,.401,.574,50.7,54.4,6.9,7.3,.538,14.4,23.4,.238
91,Elon,19,10,9,.526,-4.50,-3.61,,4,7,,4,2,,3,6,,1249,1235,,66.8,98.4,.245,.436,.516,50.7,45.9,8.5,6.7,.485,15.3,25.0,.182
92,Evansville,25,9,16,.360,-4.70,0.14,,7,11,,8,4,,1,10,,1619,1740,,62.4,102.3,.254,.490,.556,45.6,51.0,7.7,6.3,.532,15.8,19.0,.182
93,Fairfield,27,10,17,.370,-10.73,-5.84,,7,11,,4,8,,3,8,,1668,1800,,65.2,93.8,.341,.355,.493,50.6,46.7,7.0,6.1,.454,17.1,28.1,.237
94,Fairleigh Dickinson,24,9,15,.375,-8.40,-4.69,,8,10,,4,6,,5,9,,1801,1890,,71.9,103.2,.311,.361,.548,47.8,44.5,10.4,10.4,.518,17.1,28.7,.221
95,Florida A&M,20,8,12,.400,-11.96,-9.16,,7,5,,4,1,,4,10,,1314,1370,,70.9,92.7,.298,.269,.511,49.9,53.0,9.2,6.8,.486,20.8,30.2,.194
96,Florida Atlantic,23,13,10,.565,-1.88,-4.77,,7,5,,7,1,,4,7,,1796,1537,,70.7,109.9,.289,.417,.560,55.4,51.4,10.7,7.7,.542,16.6,34.0,.191
97,Florida Gulf Coast,18,10,8,.556,-9.47,-6.97,,4,4,,7,4,,2,2,,1292,1242,,72.5,99.0,.241,.443,.515,50.9,50.9,10.3,11.2,.494,17.4,29.9,.160
98,Florida International,26,9,17,.346,-10.99,-3.04,,2,15,,7,8,,2,9,,1914,1985,,72.8,99.7,.244,.509,.535,46.0,56.2,11.4,10.0,.515,17.5,26.2,.163
99,Florida State NCAA,22,16,6,.727,17.98,9.39,,11,4,,12,1,,3,4,,1736,1547,,70.3,110.9,.327,.355,.575,53.2,51.9,10.4,14.6,.544,17.3,35.5,.241
100,Florida NCAA,23,14,9,.609,14.89,10.76,,9,7,,6,3,,5,5,,1701,1606,,70.8,104.5,.338,.338,.562,50.8,45.0,10.3,14.4,.525,18.2,30.7,.256
101,Fordham,14,2,12,.143,-10.52,4.26,,2,11,,2,5,,0,6,,725,932,,64.2,80.6,.275,.411,.448,43.5,59.5,9.7,7.0,.414,18.8,19.2,.184
102,Fresno State,24,12,12,.500,-3.50,0.14,,9,11,,7,5,,4,6,,1591,1618,,66.9,98.6,.376,.387,.524,52.4,45.1,9.8,8.7,.492,18.5,31.0,.251
103,Furman,25,16,9,.640,6.46,-1.22,,10,5,,11,1,,5,7,,1990,1723,,70.9,111.8,.266,.472,.589,51.6,57.0,11.5,9.5,.568,15.6,27.2,.192
104,Gardner-Webb,26,11,15,.423,-3.31,-5.58,,10,10,,7,4,,4,11,,1837,1778,,67.0,105.5,.300,.439,.549,49.5,52.1,8.8,14.7,.524,15.4,26.7,.207
105,George Mason,22,13,9,.591,2.93,1.50,,8,6,,7,3,,3,4,,1569,1538,,69.2,100.2,.293,.362,.511,51.9,49.7,10.2,11.5,.488,15.5,30.2,.188
106,George Washington,17,5,12,.294,-4.62,-0.44,,3,5,,3,6,,1,5,,1158,1229,,68.9,98.1,.361,.339,.533,49.3,47.2,9.1,7.0,.498,17.6,24.5,.252
107,Georgetown NCAA,25,13,12,.520,11.73,11.05,,7,9,,7,6,,2,6,,1784,1767,,70.2,101.2,.303,.388,.533,53.4,51.7,8.4,10.4,.496,18.6,32.4,.228
108,Georgia Southern,26,13,13,.500,-9.75,-5.79,,7,9,,9,4,,4,8,,1860,1762,,68.4,101.7,.301,.396,.530,51.9,46.9,11.5,11.3,.510,17.6,32.5,.191
109,Georgia State,22,16,6,.727,-1.23,-4.13,,8,4,,9,1,,5,4,,1767,1599,,71.2,110.4,.307,.359,.556,50.4,56.9,9.8,12.2,.532,13.8,31.3,.210
110,Georgia Tech NCAA,25,17,8,.680,14.06,8.54,,11,6,,11,3,,4,5,,1888,1750,,68.2,108.0,.290,.369,.566,47.2,57.7,13.2,9.3,.538,14.3,24.7,.211
111,Georgia,26,14,12,.538,7.02,8.42,,7,11,,12,5,,2,6,,2014,2027,,75.8,101.8,.345,.318,.540,50.8,53.0,11.1,6.3,.509,18.9,33.1,.238
112,Gonzaga NCAA,26,26,0,1.000,26.43,3.43,,15,0,,12,0,,7,0,,2395,1797,,75.3,122.4,.366,.323,.633,55.3,53.6,11.0,7.1,.610,14.3,30.4,.266
113,Grambling,24,12,12,.500,-14.78,-13.00,,9,6,,6,4,,5,7,,1617,1649,,72.1,93.0,.421,.287,.513,48.5,60.0,11.2,8.4,.476,19.1,25.4,.280
114,Grand Canyon NCAA,23,17,6,.739,3.83,-5.78,,9,3,,10,3,,5,1,,1738,1405,,68.3,110.6,.322,.358,.574,57.0,57.4,7.1,9.0,.551,16.6,32.2,.221
115,Green Bay,25,8,17,.320,-9.32,-4.40,,8,12,,6,6,,2,11,,1790,1913,,67.7,102.7,.273,.339,.526,47.6,53.7,7.9,9.3,.492,13.6,25.7,.204
116,Hampton,25,11,14,.440,-13.05,-8.65,,9,9,,5,7,,6,7,,1721,1831,,70.1,98.2,.286,.388,.527,46.0,47.2,8.7,16.1,.495,16.3,22.1,.207
117,Hartford NCAA,23,15,8,.652,-2.76,-5.37,,8,6,,10,1,,5,6,,1515,1455,,66.5,99.0,.286,.425,.533,48.9,46.6,10.5,6.1,.504,17.0,24.8,.204
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,.524,-4.48,-4.22,,9,9,,7,5,,4,4,,1503,1452,,68.4,102.8,.311,.377,.542,52.7,46.1,8.1,3.8,.510,17.3,30.3,.224
120,High Point,24,9,15,.375,-10.19,-6.98,,6,11,,5,5,,4,10,,1600,1677,,67.4,98.3,.383,.292,.499,51.0,51.8,9.7,12.5,.458,15.9,32.0,.263
121,Hofstra,23,13,10,.565,-1.85,-2.02,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.6,.332,.393,.542,50.0,49.2,9.5,7.9,.508,15.2,29.3,.238
122,Holy Cross,16,5,11,.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,69.9,100.3,.261,.330,.529,47.1,45.6,9.8,10.1,.503,16.2,26.5,.182
123,Houston Baptist,25,6,19,.240,-16.94,-5.94,,4,11,,4,6,,1,12,,1776,2007,,74.2,95.2,.279,.396,.528,47.1,55.7,9.4,9.5,.496,19.9,25.4,.205
124,Houston NCAA,27,24,3,.889,22.14,4.14,,14,3,,15,0,,5,3,,2096,1562,,66.6,116.5,.297,.420,.552,56.2,51.6,12.3,14.6,.520,13.4,39.6,.220
125,Howard,5,1,4,.200,-13.80,-2.05,,0,0,,1,1,,0,0,,363,424,,73.1,99.2,.389,.435,.541,47.2,60.2,7.1,12.8,.502,17.7,22.9,.279
126,Idaho State,24,13,11,.542,-9.80,-7.11,,8,6,,8,3,,5,5,,1637,1481,,66.4,101.7,.393,.396,.547,54.7,48.8,6.7,9.3,.509,19.3,32.3,.280
127,Idaho,22,1,21,.045,-19.79,-4.38,,1,17,,1,9,,0,11,,1343,1682,,67.4,89.5,.296,.316,.520,46.6,54.4,7.3,5.5,.485,21.8,22.0,.214
128,Illinois-Chicago,22,9,13,.409,-11.31,-6.67,,6,10,,7,4,,2,9,,1489,1591,,69.6,96.1,.228,.418,.516,48.4,53.2,5.2,7.0,.497,16.8,23.4,.150
129,Illinois State,25,7,18,.280,-5.21,0.62,,4,14,,3,8,,3,9,,1799,1870,,70.7,100.3,.252,.383,.544,49.5,50.8,8.4,9.3,.526,17.3,23.8,.167
130,Illinois NCAA,29,23,6,.793,24.84,12.67,,16,4,,11,2,,9,3,,2361,2008,,71.5,112.4,.392,.307,.583,57.1,55.6,7.9,7.0,.556,15.9,33.0,.271
131,Incarnate Word,22,8,14,.364,-16.09,-8.51,,5,9,,5,7,,3,6,,1495,1578,,68.2,99.1,.337,.382,.547,47.1,51.3,7.8,4.7,.516,18.4,23.9,.237
132,Indiana State,25,15,10,.600,2.25,2.13,,11,7,,9,3,,5,6,,1662,1645,,66.8,99.6,.359,.333,.530,48.9,46.0,9.8,8.7,.489,16.2,25.0,.264
133,Indiana,27,12,15,.444,13.85,13.51,,7,12,,6,6,,3,7,,1882,1873,,67.1,100.6,.415,.323,.521,49.0,57.5,8.3,10.5,.485,15.1,25.3,.275
134,Iona NCAA,17,12,5,.706,-0.87,-7.17,,6,3,,4,2,,4,3,,1228,1121,,69.9,103.4,.361,.376,.551,54.4,56.0,9.8,11.9,.512,19.3,33.4,.268
135,Iowa State,24,2,22,.083,-0.54,10.59,,0,18,,2,10,,0,11,,1574,1841,,70.5,93.0,.196,.386,.510,45.4,47.0,9.2,8.1,.480,18.8,24.3,.154
136,Iowa NCAA,29,21,8,.724,23.21,11.38,,14,6,,14,2,,6,4,,2429,2086,,70.9,117.6,.320,.399,.573,52.0,64.3,7.8,11.6,.546,11.5,30.7,.228
